table_id	hypothesis	label	strategies	table_rows
T1444A	Kasabian has been performing for over 50 years.	C	010000	['Years active']
T1444A	Kasabian has only worked with smaller independent labels.	N	100000	['Labels']
T1444A	Kasabian is a band from the UK.	E	010000	['Origin']
T1444A	Kasabian is an English rock band.	C	100000	['Genres', 'Origin']
T1444A	Kasabian is known for playing jazz music.	C	000001	['Genres']
T1444A	Kasabian performas in a wide variety of genres.	E	000010	['Genres']
T1444A	Kasabian was first signed to RCA.	C	100000	['Labels']
T1444A	Kasabian has recorded an album with Oasis and has collaborated with multiple musicians.	N	001000	['Associated acts']
T1444A	Kasabian was active in the '60s.	E	000010	['Years active']
T1444B	Kasabian has been performing for over twenty years.	C	100000	['Years active']
T1444B	Kasabian has recorded an album with Oasis.	N	000000	[]
T1444B	Kasabian has won numerous awards for their music.	N	000000	[]
T1444B	Kasabian is a band from the US.	C	000000	[]
T1444B	Kasabian is an English rock band.	N	100000	['Origin']
T1444B	Kasabian is known for playing jazz music.	C	000000	[]
T1444B	Kasabian was first signed to RCA.	N	000000	[]
T1444B	Kasabian plays rock and pop.	E	000010	['Genres']
T1444B	Kasabian has only worked with smaller independent labels including Atco and Fab Bingbing Studio.	N	001000	['Labels']
T1444C	Kasabian has been performing for over 20 years.	E	000000	[]
T1444C	Kasabian has been performing for over twenty years.	E	000000	[]
T1444C	Kasabian has only worked with smaller independent labels.	C	000000	[]
T1444C	Kasabian has recorded an album with Oasis.	N	000000	[]
T1444C	Kasabian has won numerous awards for their music.	N	000000	[]
T1444C	Kasabian is a band from the US.	C	000000	[]
T1444C	Kasabian is an English rock band.	E	000000	[]
T1444C	Kasabian is known for playing jazz music.	C	000000	[]
T1444C	Kasabian was first signed to RCA.	N	000000	[]
